Дата эксперимента: 29.10.2023 19:00:49
time;Accel_x;Accel_y;Accel_z;Gyro_x;Gyro_y;Gyro_z;Temperature
5.481;1.0173;-0.0220;0.2045;-4.3282;0.8015;-0.7939;30.6947;
5.502;1.0229;-0.0217;0.1956;-4.2366;0.9771;-0.8015;30.7888;
5.522;1.0225;-0.0225;0.1950;-4.2137;1.1679;-0.7786;30.7888;
5.544;1.0195;-0.0186;0.1981;-4.3817;1.1374;-0.9008;30.7888;
5.565;1.0195;-0.0237;0.2072;-4.2595;0.9389;-0.8168;30.6947;
5.585;1.0251;-0.0220;0.2003;-4.1832;1.0000;-0.7405;30.7888;
5.606;1.0215;-0.0212;0.2039;-4.2977;1.0076;-0.8931;30.7888;
5.627;1.0193;-0.0234;0.2006;-4.1145;0.9466;-0.7939;30.7888;
5.648;1.0198;-0.0217;0.2000;-4.0992;1.0000;-0.9695;30.6947;
5.669;1.0217;-0.0173;0.2025;-4.2901;0.8931;-0.7481;30.6947;
5.691;1.0154;-0.0212;0.1978;-4.1450;1.0458;-0.8779;30.6947;
5.711;1.0164;-0.0229;0.1945;-4.0382;0.9237;-1.0534;30.7888;
5.732;1.0190;-0.0244;0.1925;-4.2290;1.2061;-0.7786;30.6947;
5.753;1.0181;-0.0251;0.2028;-4.1756;1.0000;-0.9466;30.6947;
5.774;1.0156;-0.0205;0.2028;-4.0916;0.9847;-0.7939;30.7888;
5.795;1.0159;-0.0251;0.1978;-4.1069;0.8321;-1.0992;30.7888;
5.816;1.0137;-0.0242;0.2059;-4.0076;0.9542;-0.8931;30.7888;
5.838;1.0222;-0.0171;0.2025;-4.1756;0.9084;-0.8321;30.7888;
5.858;1.0212;-0.0173;0.1934;-4.1374;0.9389;-0.9466;30.6947;
5.880;1.0247;-0.0220;0.1984;-4.1527;0.9542;-0.9771;30.6947;
5.901;1.0186;-0.0256;0.1928;-4.2977;0.9542;-0.7252;30.7888;
5.921;1.0183;-0.0249;0.2034;-4.0534;0.9771;-0.9237;30.7888;
5.943;1.0227;-0.0220;0.2045;-4.0687;1.1832;-0.7481;30.6947;
5.963;1.0193;-0.0208;0.1992;-4.0305;0.8321;-0.8626;30.6947;
5.984;1.0222;-0.0193;0.1970;-4.1069;1.0229;-0.8550;30.7888;
6.005;1.0208;-0.0217;0.2120;-4.3282;1.0229;-0.7099;30.7888;
6.026;1.0181;-0.0144;0.2084;-4.2366;1.0153;-0.9389;30.6947;
6.047;1.0186;-0.0178;0.1939;-4.2748;0.9542;-0.9389;30.6947;
6.068;1.0168;-0.0212;0.1959;-4.3053;1.1069;-1.0076;30.6947;
6.089;1.0149;-0.0178;0.2000;-4.1298;1.0534;-0.7252;30.6947;
6.110;1.0198;-0.0171;0.2061;-4.1679;1.0611;-0.8779;30.7888;
6.131;1.0164;-0.0266;0.1978;-4.0763;1.0840;-0.9008;30.6947;
6.152;1.0229;-0.0156;0.1992;-4.2519;0.8779;-0.8855;30.6947;
6.173;1.0186;-0.0225;0.2059;-4.0229;1.1374;-0.7481;30.7888;
6.194;1.0225;-0.0215;0.2064;-4.2595;1.0076;-0.9924;30.6947;
6.215;1.0159;-0.0203;0.1948;-4.1298;1.0534;-0.8550;30.6947;
6.236;1.0193;-0.0149;0.1953;-4.2977;0.8626;-0.6641;30.6947;
6.258;1.0137;-0.0210;0.1942;-4.1985;0.8397;-0.7405;30.7888;
6.279;1.0168;-0.0193;0.2061;-4.1679;0.9924;-0.9466;30.6947;
6.299;1.0183;-0.0249;0.2025;-4.3588;1.0687;-0.7939;30.6947;
6.321;1.0229;-0.0203;0.2042;-4.0763;0.7481;-0.6260;30.6947;
6.341;1.0176;-0.0129;0.2114;-4.1603;0.8931;-0.7939;30.6947;
6.363;1.0183;-0.0222;0.2025;-4.2672;1.0992;-0.7481;30.7888;
6.383;1.0173;-0.0220;0.1881;-4.1374;1.0611;-0.7252;30.6006;
6.404;1.0117;-0.0171;0.2053;-4.1756;1.0305;-0.9542;30.6947;
6.425;1.0168;-0.0173;0.1925;-4.2901;0.8931;-0.7405;30.6947;
6.446;1.0166;-0.0234;0.1953;-4.2061;1.0458;-0.8626;30.6947;
6.467;1.0212;-0.0229;0.1948;-4.2595;1.0458;-0.8244;30.6006;
6.488;1.0137;-0.0183;0.1998;-4.2519;0.7557;-0.9771;30.6947;
6.509;1.0139;-0.0227;0.2039;-4.1527;0.9771;-0.9160;30.6947;
6.530;1.0181;-0.0198;0.1928;-4.1145;0.9313;-0.6260;30.6947;
6.551;1.0149;-0.0205;0.1978;-4.0840;0.9389;-0.9008;30.6947;
6.572;1.0212;-0.0217;0.1875;-4.1145;0.9008;-0.7939;30.6947;
6.593;1.0198;-0.0220;0.2025;-4.1603;1.0763;-0.7710;30.6006;
6.614;1.0200;-0.0215;0.2075;-4.0992;1.0611;-0.7481;30.6947;
6.635;1.0203;-0.0232;0.2125;-4.1908;1.0000;-0.8092;30.7888;
6.656;1.0173;-0.0247;0.1986;-4.0534;1.1450;-0.7786;30.6947;
6.677;1.0215;-0.0220;0.2014;-4.2214;1.1756;-0.8779;30.7888;
6.698;1.0205;-0.0183;0.1984;-4.4198;1.0305;-0.8626;30.6947;
6.719;1.0164;-0.0217;0.2086;-4.2443;0.8168;-0.8092;30.6947;
6.740;1.0166;-0.0229;0.2011;-4.0992;0.9160;-0.9466;30.6947;
6.761;1.0217;-0.0208;0.2009;-4.3053;0.9237;-0.8702;30.6947;
6.782;1.0210;-0.0220;0.1964;-4.3130;0.8855;-0.8855;30.6947;
6.803;1.0212;-0.0239;0.2045;-4.2672;0.8626;-1.0153;30.6947;
6.824;1.0186;-0.0164;0.2022;-4.1069;1.0840;-0.7863;30.6947;
6.845;1.0193;-0.0205;0.2028;-3.9924;0.9771;-0.9160;30.7888;
6.866;1.0190;-0.0215;0.1989;-4.1832;0.9466;-0.8702;30.6947;
6.888;1.0181;-0.0225;0.2022;-4.0840;0.9084;-0.9008;30.6947;
6.908;1.0178;-0.0220;0.2070;-4.1145;1.0076;-0.6870;30.6947;
6.929;1.0120;-0.0234;0.1984;-4.3282;1.0382;-0.9618;30.6947;
6.950;1.0186;-0.0244;0.1992;-4.2137;1.0458;-0.9924;30.6947;
6.971;1.0200;-0.0205;0.2020;-4.2366;1.0305;-0.8855;30.6947;
6.992;1.0190;-0.0193;0.2006;-4.2137;1.0840;-0.9389;30.6947;
7.013;1.0183;-0.0227;0.2020;-4.1298;0.9084;-0.7634;30.6947;
7.034;1.0203;-0.0239;0.2025;-4.0305;1.0153;-0.9695;30.6947;
7.056;1.0188;-0.0215;0.1950;-4.0611;1.0458;-0.8321;30.6947;
