Дата эксперимента: 31.10.2023 21:20:26
time;Accel_x;Accel_y;Accel_z;Gyro_x;Gyro_y;Gyro_z;Temperature
5.703;1.0129;-0.0068;0.2727;-3.9466;1.1603;-0.8168;30.1300;
5.724;1.0103;-0.0024;0.2821;-3.9771;0.9160;-0.7939;29.9418;
5.745;1.0085;-0.0037;0.2797;-4.1832;0.9160;-0.8092;30.0359;
5.767;1.0139;-0.0073;0.2735;-3.8702;1.0763;-0.7557;29.9418;
5.788;1.0144;-0.0095;0.2769;-4.1527;0.8397;-0.7481;30.0359;
5.809;1.0066;-0.0093;0.2783;-4.2977;1.0153;-0.8321;30.0359;
5.830;1.0107;-0.0017;0.2766;-4.0687;1.0458;-0.8550;30.0359;
5.851;1.0117;-0.0059;0.2744;-4.1527;1.1374;-0.8779;29.9418;
5.871;1.0093;-0.0012;0.2797;-4.2672;0.9771;-0.9237;29.9418;
5.893;1.0046;-0.0071;0.2777;-4.4580;1.0611;-0.8779;29.9418;
5.914;1.0127;-0.0027;0.2769;-4.0840;0.8321;-0.8168;30.0359;
5.935;1.0085;0.0034;0.2794;-4.2977;1.1145;-0.9008;30.0359;
5.955;1.0146;0.0015;0.2711;-4.2214;1.2137;-0.9695;30.0359;
5.976;1.0093;-0.0049;0.2869;-4.1756;1.0611;-0.9618;29.9418;
5.997;1.0103;-0.0085;0.2741;-4.0687;0.9618;-0.9084;30.0359;
6.018;1.0134;-0.0068;0.2869;-4.0000;1.1832;-0.9084;29.9418;
6.039;1.0117;-0.0024;0.2733;-4.2443;1.0534;-1.0458;30.0359;
6.060;1.0088;-0.0081;0.2749;-4.1832;0.9389;-0.7786;30.0359;
6.081;1.0129;-0.0024;0.2816;-4.1832;0.9237;-0.9389;30.0359;
6.102;1.0090;-0.0061;0.2716;-4.1374;1.1374;-0.9618;30.0359;
6.123;1.0129;-0.0063;0.2755;-4.3282;0.8779;-0.9237;30.0359;
6.144;1.0112;-0.0112;0.2780;-3.9771;0.9618;-0.8779;30.1300;
6.165;1.0120;-0.0046;0.2808;-4.3664;1.0840;-0.9542;30.0359;
6.187;1.0098;-0.0039;0.2769;-4.2137;1.0382;-0.9466;30.0359;
6.207;1.0146;-0.0017;0.2747;-4.2061;1.1908;-0.7023;30.1300;
6.229;1.0129;-0.0073;0.2802;-4.1145;0.9008;-0.8931;29.9418;
6.249;1.0125;-0.0027;0.2702;-4.0229;1.0534;-0.8702;30.0359;
6.270;1.0100;-0.0015;0.2741;-3.9847;1.1527;-1.0458;29.9418;
6.291;1.0103;-0.0076;0.2716;-4.2824;1.0687;-0.8702;30.0359;
6.312;1.0081;-0.0085;0.2794;-4.2824;1.0916;-0.7863;29.9418;
6.333;1.0088;-0.0022;0.2874;-4.3511;0.7634;-0.9237;30.0359;
6.354;1.0100;-0.0076;0.2766;-4.1374;1.0305;-0.7710;29.9418;
6.375;1.0090;-0.0002;0.2663;-4.3740;0.8779;-0.8473;29.9418;
6.396;1.0107;-0.0073;0.2813;-3.9542;1.2748;-0.6794;30.0359;
6.417;1.0098;-0.0027;0.2638;-4.0992;0.9542;-0.9084;30.0359;
6.438;1.0151;-0.0037;0.2730;-3.9847;1.0458;-0.8397;30.0359;
6.459;1.0112;-0.0090;0.2769;-4.2061;1.1145;-0.6794;29.9418;
6.481;1.0093;-0.0076;0.2772;-4.2061;1.0305;-0.8397;30.0359;
